ElecID,X,Y
1000,95.0,-35.0
1001,85.0,-35.0
1002,115.0,-35.0
1003,105.0,-35.0
1004,85.0,-25.0
1005,95.0,-25.0
1006,105.0,-25.0
1007,115.0,-25.0
1008,85.0,-15.0
1009,95.0,-15.0
1010,105.0,-15.0
1011,115.0,-15.0
1012,95.0,-5.0
1013,85.0,-5.0
1014,115.0,-5.0
1015,105.0,-5.0
1016,135.0,-35.0
1017,125.0,-35.0
1018,155.0,-35.0
1019,145.0,-35.0
1020,125.0,-25.0
1021,135.0,-25.0
1022,145.0,-25.0
1023,155.0,-25.0
1024,125.0,-15.0
1025,135.0,-15.0
1026,145.0,-15.0
1027,155.0,-15.0
1028,135.0,-5.0
1029,125.0,-5.0
1030,155.0,-5.0
1031,145.0,-5.0
1032,125.0,-65.0
1033,135.0,-65.0
1034,145.0,-65.0
1035,155.0,-65.0
1036,135.0,-75.0
1037,125.0,-75.0
1038,155.0,-75.0
1039,145.0,-75.0
1040,135.0,-45.0
1041,125.0,-45.0
1042,155.0,-45.0
1043,145.0,-45.0
1044,125.0,-55.0
1045,135.0,-55.0
1046,145.0,-55.0
1047,155.0,-55.0
1048,85.0,-65.0
1049,95.0,-65.0
1050,105.0,-65.0
1051,115.0,-65.0
1052,95.0,-75.0
1053,85.0,-75.0
1054,115.0,-75.0
1055,105.0,-75.0
1056,95.0,-45.0
1057,85.0,-45.0
1058,115.0,-45.0
1059,105.0,-45.0
1060,85.0,-55.0
1061,95.0,-55.0
1062,105.0,-55.0
1063,115.0,-55.0
2000,15.0,-35.0
2001,5.0,-35.0
2002,35.0,-35.0
2003,25.0,-35.0
2004,5.0,-25.0
2005,15.0,-25.0
2006,25.0,-25.0
2007,35.0,-25.0
2008,5.0,-15.0
2009,15.0,-15.0
2010,25.0,-15.0
2011,35.0,-15.0
2012,15.0,-5.0
2013,5.0,-5.0
2014,35.0,-5.0
2015,25.0,-5.0
2016,55.0,-35.0
2017,45.0,-35.0
2018,75.0,-35.0
2019,65.0,-35.0
2020,45.0,-25.0
2021,55.0,-25.0
2022,65.0,-25.0
2023,75.0,-25.0
2024,45.0,-15.0
2025,55.0,-15.0
2026,65.0,-15.0
2027,75.0,-15.0
2028,55.0,-5.0
2029,45.0,-5.0
2030,75.0,-5.0
2031,65.0,-5.0
2032,45.0,-65.0
2033,55.0,-65.0
2034,65.0,-65.0
2035,75.0,-65.0
2036,55.0,-75.0
2037,45.0,-75.0
2038,75.0,-75.0
2039,65.0,-75.0
2040,55.0,-45.0
2041,45.0,-45.0
2042,75.0,-45.0
2043,65.0,-45.0
2044,45.0,-55.0
2045,55.0,-55.0
2046,65.0,-55.0
2047,75.0,-55.0
2048,5.0,-65.0
2049,15.0,-65.0
2050,25.0,-65.0
2051,35.0,-65.0
2052,15.0,-75.0
2053,5.0,-75.0
2054,35.0,-75.0
2055,25.0,-75.0
2056,15.0,-45.0
2057,5.0,-45.0
2058,35.0,-45.0
2059,25.0,-45.0
2060,5.0,-55.0
2061,15.0,-55.0
2062,25.0,-55.0
2063,35.0,-55.0
3000,15.0,-115.0
3001,5.0,-115.0
3002,35.0,-115.0
3003,25.0,-115.0
3004,5.0,-105.0
3005,15.0,-105.0
3006,25.0,-105.0
3007,35.0,-105.0
3008,5.0,-95.0
3009,15.0,-95.0
3010,25.0,-95.0
3011,35.0,-95.0
3012,15.0,-85.0
3013,5.0,-85.0
3014,35.0,-85.0
3015,25.0,-85.0
3016,55.0,-115.0
3017,45.0,-115.0
3018,75.0,-115.0
3019,65.0,-115.0
3020,45.0,-105.0
3021,55.0,-105.0
3022,65.0,-105.0
3023,75.0,-105.0
3024,45.0,-95.0
3025,55.0,-95.0
3026,65.0,-95.0
3027,75.0,-95.0
3028,55.0,-85.0
3029,45.0,-85.0
3030,75.0,-85.0
3031,65.0,-85.0
3032,45.0,-145.0
3033,55.0,-145.0
3034,65.0,-145.0
3035,75.0,-145.0
3036,55.0,-155.0
3037,45.0,-155.0
3038,75.0,-155.0
3039,65.0,-155.0
3040,55.0,-125.0
3041,45.0,-125.0
3042,75.0,-125.0
3043,65.0,-125.0
3044,45.0,-135.0
3045,55.0,-135.0
3046,65.0,-135.0
3047,75.0,-135.0
3048,5.0,-145.0
3049,15.0,-145.0
3050,25.0,-145.0
3051,35.0,-145.0
3052,15.0,-155.0
3053,5.0,-155.0
3054,35.0,-155.0
3055,25.0,-155.0
3056,15.0,-125.0
3057,5.0,-125.0
3058,35.0,-125.0
3059,25.0,-125.0
3060,5.0,-135.0
3061,15.0,-135.0
3062,25.0,-135.0
3063,35.0,-135.0
4000,-95.0,-45.0
4001,-85.0,-45.0
4002,-115.0,-45.0
4003,-105.0,-45.0
4004,-85.0,-55.0
4005,-95.0,-55.0
4006,-105.0,-55.0
4007,-115.0,-55.0
4008,-85.0,-65.0
4009,-95.0,-65.0
4010,-105.0,-65.0
4011,-115.0,-65.0
4012,-95.0,-75.0
4013,-85.0,-75.0
4014,-115.0,-75.0
4015,-105.0,-75.0
4016,-135.0,-45.0
4017,-125.0,-45.0
4018,-155.0,-45.0
4019,-145.0,-45.0
4020,-125.0,-55.0
4021,-135.0,-55.0
4022,-145.0,-55.0
4023,-155.0,-55.0
4024,-125.0,-65.0
4025,-135.0,-65.0
4026,-145.0,-65.0
4027,-155.0,-65.0
4028,-135.0,-75.0
4029,-125.0,-75.0
4030,-155.0,-75.0
4031,-145.0,-75.0
4032,-125.0,-15.0
4033,-135.0,-15.0
4034,-145.0,-15.0
4035,-155.0,-15.0
4036,-135.0,-5.0
4037,-125.0,-5.0
4038,-155.0,-5.0
4039,-145.0,-5.0
4040,-135.0,-35.0
4041,-125.0,-35.0
4042,-155.0,-35.0
4043,-145.0,-35.0
4044,-125.0,-25.0
4045,-135.0,-25.0
4046,-145.0,-25.0
4047,-155.0,-25.0
4048,-85.0,-15.0
4049,-95.0,-15.0
4050,-105.0,-15.0
4051,-115.0,-15.0
4052,-95.0,-5.0
4053,-85.0,-5.0
4054,-115.0,-5.0
4055,-105.0,-5.0
4056,-95.0,-35.0
4057,-85.0,-35.0
4058,-115.0,-35.0
4059,-105.0,-35.0
4060,-85.0,-25.0
4061,-95.0,-25.0
4062,-105.0,-25.0
4063,-115.0,-25.0
5000,-15.0,-45.0
5001,-5.0,-45.0
5002,-35.0,-45.0
5003,-25.0,-45.0
5004,-5.0,-55.0
5005,-15.0,-55.0
5006,-25.0,-55.0
5007,-35.0,-55.0
5008,-5.0,-65.0
5009,-15.0,-65.0
5010,-25.0,-65.0
5011,-35.0,-65.0
5012,-15.0,-75.0
5013,-5.0,-75.0
5014,-35.0,-75.0
5015,-25.0,-75.0
5016,-55.0,-45.0
5017,-45.0,-45.0
5018,-75.0,-45.0
5019,-65.0,-45.0
5020,-45.0,-55.0
5021,-55.0,-55.0
5022,-65.0,-55.0
5023,-75.0,-55.0
5024,-45.0,-65.0
5025,-55.0,-65.0
5026,-65.0,-65.0
5027,-75.0,-65.0
5028,-55.0,-75.0
5029,-45.0,-75.0
5030,-75.0,-75.0
5031,-65.0,-75.0
5032,-45.0,-15.0
5033,-55.0,-15.0
5034,-65.0,-15.0
5035,-75.0,-15.0
5036,-55.0,-5.0
5037,-45.0,-5.0
5038,-75.0,-5.0
5039,-65.0,-5.0
5040,-55.0,-35.0
5041,-45.0,-35.0
5042,-75.0,-35.0
5043,-65.0,-35.0
5044,-45.0,-25.0
5045,-55.0,-25.0
5046,-65.0,-25.0
5047,-75.0,-25.0
5048,-5.0,-15.0
5049,-15.0,-15.0
5050,-25.0,-15.0
5051,-35.0,-15.0
5052,-15.0,-5.0
5053,-5.0,-5.0
5054,-35.0,-5.0
5055,-25.0,-5.0
5056,-15.0,-35.0
5057,-5.0,-35.0
5058,-35.0,-35.0
5059,-25.0,-35.0
5060,-5.0,-25.0
5061,-15.0,-25.0
5062,-25.0,-25.0
5063,-35.0,-25.0
6000,-15.0,-125.0
6001,-5.0,-125.0
6002,-35.0,-125.0
6003,-25.0,-125.0
6004,-5.0,-135.0
6005,-15.0,-135.0
6006,-25.0,-135.0
6007,-35.0,-135.0
6008,-5.0,-145.0
6009,-15.0,-145.0
6010,-25.0,-145.0
6011,-35.0,-145.0
6012,-15.0,-155.0
6013,-5.0,-155.0
6014,-35.0,-155.0
6015,-25.0,-155.0
6016,-55.0,-125.0
6017,-45.0,-125.0
6018,-75.0,-125.0
6019,-65.0,-125.0
6020,-45.0,-135.0
6021,-55.0,-135.0
6022,-65.0,-135.0
6023,-75.0,-135.0
6024,-45.0,-145.0
6025,-55.0,-145.0
6026,-65.0,-145.0
6027,-75.0,-145.0
6028,-55.0,-155.0
6029,-45.0,-155.0
6030,-75.0,-155.0
6031,-65.0,-155.0
6032,-45.0,-95.0
6033,-55.0,-95.0
6034,-65.0,-95.0
6035,-75.0,-95.0
6036,-55.0,-85.0
6037,-45.0,-85.0
6038,-75.0,-85.0
6039,-65.0,-85.0
6040,-55.0,-115.0
6041,-45.0,-115.0
6042,-75.0,-115.0
6043,-65.0,-115.0
6044,-45.0,-105.0
6045,-55.0,-105.0
6046,-65.0,-105.0
6047,-75.0,-105.0
6048,-5.0,-95.0
6049,-15.0,-95.0
6050,-25.0,-95.0
6051,-35.0,-95.0
6052,-15.0,-85.0
6053,-5.0,-85.0
6054,-35.0,-85.0
6055,-25.0,-85.0
6056,-15.0,-115.0
6057,-5.0,-115.0
6058,-35.0,-115.0
6059,-25.0,-115.0
6060,-5.0,-105.0
6061,-15.0,-105.0
6062,-25.0,-105.0
6063,-35.0,-105.0
7000,-95.0,35.0
7001,-85.0,35.0
7002,-115.0,35.0
7003,-105.0,35.0
7004,-85.0,25.0
7005,-95.0,25.0
7006,-105.0,25.0
7007,-115.0,25.0
7008,-85.0,15.0
7009,-95.0,15.0
7010,-105.0,15.0
7011,-115.0,15.0
7012,-95.0,5.0
7013,-85.0,5.0
7014,-115.0,5.0
7015,-105.0,5.0
7016,-135.0,35.0
7017,-125.0,35.0
7018,-155.0,35.0
7019,-145.0,35.0
7020,-125.0,25.0
7021,-135.0,25.0
7022,-145.0,25.0
7023,-155.0,25.0
7024,-125.0,15.0
7025,-135.0,15.0
7026,-145.0,15.0
7027,-155.0,15.0
7028,-135.0,5.0
7029,-125.0,5.0
7030,-155.0,5.0
7031,-145.0,5.0
7032,-125.0,65.0
7033,-135.0,65.0
7034,-145.0,65.0
7035,-155.0,65.0
7036,-135.0,75.0
7037,-125.0,75.0
7038,-155.0,75.0
7039,-145.0,75.0
7040,-135.0,45.0
7041,-125.0,45.0
7042,-155.0,45.0
7043,-145.0,45.0
7044,-125.0,55.0
7045,-135.0,55.0
7046,-145.0,55.0
7047,-155.0,55.0
7048,-85.0,65.0
7049,-95.0,65.0
7050,-105.0,65.0
7051,-115.0,65.0
7052,-95.0,75.0
7053,-85.0,75.0
7054,-115.0,75.0
7055,-105.0,75.0
7056,-95.0,45.0
7057,-85.0,45.0
7058,-115.0,45.0
7059,-105.0,45.0
7060,-85.0,55.0
7061,-95.0,55.0
7062,-105.0,55.0
7063,-115.0,55.0
8000,-15.0,35.0
8001,-5.0,35.0
8002,-35.0,35.0
8003,-25.0,35.0
8004,-5.0,25.0
8005,-15.0,25.0
8006,-25.0,25.0
8007,-35.0,25.0
8008,-5.0,15.0
8009,-15.0,15.0
8010,-25.0,15.0
8011,-35.0,15.0
8012,-15.0,5.0
8013,-5.0,5.0
8014,-35.0,5.0
8015,-25.0,5.0
8016,-55.0,35.0
8017,-45.0,35.0
8018,-75.0,35.0
8019,-65.0,35.0
8020,-45.0,25.0
8021,-55.0,25.0
8022,-65.0,25.0
8023,-75.0,25.0
8024,-45.0,15.0
8025,-55.0,15.0
8026,-65.0,15.0
8027,-75.0,15.0
8028,-55.0,5.0
8029,-45.0,5.0
8030,-75.0,5.0
8031,-65.0,5.0
8032,-45.0,65.0
8033,-55.0,65.0
8034,-65.0,65.0
8035,-75.0,65.0
8036,-55.0,75.0
8037,-45.0,75.0
8038,-75.0,75.0
8039,-65.0,75.0
8040,-55.0,45.0
8041,-45.0,45.0
8042,-75.0,45.0
8043,-65.0,45.0
8044,-45.0,55.0
8045,-55.0,55.0
8046,-65.0,55.0
8047,-75.0,55.0
8048,-5.0,65.0
8049,-15.0,65.0
8050,-25.0,65.0
8051,-35.0,65.0
8052,-15.0,75.0
8053,-5.0,75.0
8054,-35.0,75.0
8055,-25.0,75.0
8056,-15.0,45.0
8057,-5.0,45.0
8058,-35.0,45.0
8059,-25.0,45.0
8060,-5.0,55.0
8061,-15.0,55.0
8062,-25.0,55.0
8063,-35.0,55.0
9000,-15.0,115.0
9001,-5.0,115.0
9002,-35.0,115.0
9003,-25.0,115.0
9004,-5.0,105.0
9005,-15.0,105.0
9006,-25.0,105.0
9007,-35.0,105.0
9008,-5.0,95.0
9009,-15.0,95.0
9010,-25.0,95.0
9011,-35.0,95.0
9012,-15.0,85.0
9013,-5.0,85.0
9014,-35.0,85.0
9015,-25.0,85.0
9016,-55.0,115.0
9017,-45.0,115.0
9018,-75.0,115.0
9019,-65.0,115.0
9020,-45.0,105.0
9021,-55.0,105.0
9022,-65.0,105.0
9023,-75.0,105.0
9024,-45.0,95.0
9025,-55.0,95.0
9026,-65.0,95.0
9027,-75.0,95.0
9028,-55.0,85.0
9029,-45.0,85.0
9030,-75.0,85.0
9031,-65.0,85.0
9032,-45.0,145.0
9033,-55.0,145.0
9034,-65.0,145.0
9035,-75.0,145.0
9036,-55.0,155.0
9037,-45.0,155.0
9038,-75.0,155.0
9039,-65.0,155.0
9040,-55.0,125.0
